entitySlug,entityName,domain,currentStatus,qualityTier,currentSourceProvider,currentSourceUrl,manualOverridePath,manualOverrideDomain,manualNotes,approvedForNextMigration
"jetour","Jetour","","approved","needs_review","html_metadata:link_icon","https://jetourglobal.com/favicon.ico","","","",""
"escudo","Escudo","","approved","weak","logodev","https://img.logo.dev/escudoconsultoria.com.br?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"montes","Montes","","approved","needs_review","html_metadata:link_icon","https://monteswines.com/favicon.ico","","","",""
"babysec","Babysec","","approved","needs_review","html_metadata:link_icon","https://www.babysec.cl/assets/dist/frontend/images/favicon/android-icon-192x192.png","","","",""
"mac","MAC","","approved","weak","logodev","https://img.logo.dev/maccosmetics.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"eucerin-sun","Eucerin Sun","","approved","needs_review","html_metadata:link_icon","https://images-1.eucerin.com/~/media/eucerin%20reference%20site/eucerin_favicon.ico","","","",""
"elvive","Elvive","","approved","weak","logodev","https://img.logo.dev/loreal-paris.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"justo","Justo","","approved","weak","logodev","https://img.logo.dev/justo.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"juan-maestro","Juan Maestro","","approved","needs_review","html_metadata:link_icon","https://tofuu.getjusto.com/orioneat-prod/88orTfZAbxKc7zucD-favicon%20JM.png","","","",""
"pedro-juan-diego","Pedro, Juan & Diego","","approved","needs_review","html_metadata:link_icon","https://www.dominios.cl/images/apple-touch-icon.png","","","",""
"little-caesars","Little Caesars","","approved","weak","logodev","https://img.logo.dev/littlecaesars.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"filadd","Filadd","","approved","weak","html_metadata:link_icon","https://cdn.prod.website-files.com/63727ff21746368de5893d07/65e71a64fa2d50464e50f762_Asset%202.png","","","",""
"uai","UAI","","approved","weak","logodev","https://img.logo.dev/uai.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"universidad-de-concepcion","Universidad de Concepción","","approved","needs_review","html_metadata","https://udec.cl/favicon.ico","","","",""
"muvix","Muvix","","approved","needs_review","html_metadata:link_icon","https://muvix.cl/IT-CDN/Themes/_default/Images/favicon/android-icon-192x192.png","","","",""
"carolina","Carolina","","approved","weak","logodev","https://img.logo.dev/radiocarolina.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"universal","Universal+","","approved","needs_review","html_metadata","https://universalplus.com/apple-touch-icon.png","","","",""
"la-red","La Red","","approved","needs_review","html_metadata:link_icon","https://www.lared.cl/wp-content/themes/lared2021/img/favicon/apple-touch-icon.png","","","",""
"mercado-pago","Mercado Pago","","approved","needs_review","html_metadata:link_icon","https://http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/7.2.2/mercadopago/favicon.svg","","","",""
"tapp","Tapp","","approved","needs_review","html_metadata:link_icon","https://cla.cdn.modyo.com/uploads/30174f3a-dcff-4133-bdf3-8219a20febe7/C32x32/tapp-favicon-32.ico","","","",""
"redcompra","Redcompra","","approved","weak","logodev","https://img.logo.dev/redcompra.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"dyson","Dyson","","approved","weak","logodev","https://img.logo.dev/dyson.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"cat-chow","Cat Chow","","approved","weak","logodev","https://img.logo.dev/purina.cl?token=pk_fTj0i3frTzeohntsedusqQ&retina=true","","","",""
"royal-canin","Royal Canin","","approved","needs_review","html_metadata:link_icon","https://www.royalcanin.com/favicon.ico","","","",""
"superzoo","SuperZoo","","approved","needs_review","html_metadata","https://superzoo.cl/favicon.ico","","","",""
"saxoline","Saxoline","","approved","needs_review","html_metadata:link_icon","https://saxoline.cl/favicon.ico","","","",""
"sparta","Sparta","","approved","needs_review","html_metadata:link_icon","https://sparta.cl/media/favicon/stores/1/logo_sparta_cuadrado_2_1_.png","","","",""
"forever-21","Forever 21","","approved","needs_review","html_metadata:link_icon","https://www.forever21.com/cdn/shop/files/favicon_-_f21.jpg?v=1745868953&width=96","","","",""
"h-m","H&M","","approved","needs_review","html_metadata","https://cl.hm.com/favicon.ico","","","",""
"family-shop","Family Shop","","approved","weak","html_metadata:link_icon","https://cdnx.jumpseller.com/familyshop/image/61821098/resize/180/180?1743079886","","","",""
"sybilla","Sybilla","","approved","weak","html_metadata:link_icon","https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e527cb20edce8ff/falabella.com@16px.png","","falabella.com","Applied known domain correction","true"
"falabella","Falabella","","approved","weak","html_metadata:link_icon","https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e527cb20edce8ff/falabella.com@16px.png","","falabella.com","Applied known domain correction","true"
